date,state,district,pincode,bio_age_5_17,bio_age_17_
10-08-2025,Andhra Pradesh,Srikakulam,532461,0,1
09-08-2025,Andhra Pradesh,Srikakulam,532290,0,4
13-08-2025,Andhra Pradesh,Srikakulam,535557,1,1
05-08-2025,Andhra Pradesh,Srikakulam,532219,0,2
07-08-2025,Andhra Pradesh,Srikakulam,535557,0,2
06-08-2025,Andhra Pradesh,Srikakulam,532409,1,12
06-08-2025,Andhra Pradesh,Srikakulam,535125,0,2
05-10-2025,Andhra Pradesh,Srikakulam,532401,1,0
05-10-2025,Andhra Pradesh,Srikakulam,532440,1,0
04-10-2025,Andhra Pradesh,Srikakulam,532214,11,24
04-10-2025,Andhra Pradesh,Srikakulam,532322,8,9
04-10-2025,Andhra Pradesh,Srikakulam,532401,8,3
04-10-2025,Andhra Pradesh,Srikakulam,532410,10,8
04-10-2025,Andhra Pradesh,Srikakulam,532427,5,8
04-10-2025,Andhra Pradesh,Srikakulam,532457,7,10
04-10-2025,Andhra Pradesh,Srikakulam,532459,8,19
08-10-2025,Andhra Pradesh,Srikakulam,532001,15,10
08-10-2025,Andhra Pradesh,Srikakulam,532005,6,7
08-10-2025,Andhra Pradesh,Srikakulam,532213,8,26
08-10-2025,Andhra Pradesh,Srikakulam,532220,7,9
08-10-2025,Andhra Pradesh,Srikakulam,532291,2,6
08-10-2025,Andhra Pradesh,Srikakulam,532409,2,6
08-10-2025,Andhra Pradesh,Srikakulam,532428,0,1
08-10-2025,Andhra Pradesh,Srikakulam,532455,10,27
08-10-2025,Andhra Pradesh,Srikakulam,532458,4,20
08-10-2025,Andhra Pradesh,Srikakulam,532461,0,2
08-10-2025,Andhra Pradesh,Srikakulam,532474,2,0
08-10-2025,Andhra Pradesh,Srikakulam,535128,0,2
06-10-2025,Andhra Pradesh,Srikakulam,532404,3,5
06-10-2025,Andhra Pradesh,Srikakulam,532426,1,11
06-10-2025,Andhra Pradesh,Srikakulam,532432,3,10
09-10-2025,Andhra Pradesh,Srikakulam,532409,0,6
09-10-2025,Andhra Pradesh,Srikakulam,532428,2,2
09-10-2025,Andhra Pradesh,Srikakulam,532432,1,21
09-10-2025,Andhra Pradesh,Srikakulam,535557,1,5
10-10-2025,Andhra Pradesh,Srikakulam,532123,7,18
10-10-2025,Andhra Pradesh,Srikakulam,532212,2,18
10-10-2025,Andhra Pradesh,Srikakulam,532284,5,6
10-10-2025,Andhra Pradesh,Srikakulam,532312,14,23
10-10-2025,Andhra Pradesh,Srikakulam,532427,4,6
10-10-2025,Andhra Pradesh,Srikakulam,532428,2,3
10-10-2025,Andhra Pradesh,Srikakulam,532430,7,10
10-10-2025,Andhra Pradesh,Srikakulam,532443,0,7
10-10-2025,Andhra Pradesh,Srikakulam,532445,1,14
10-10-2025,Andhra Pradesh,Srikakulam,532455,9,18
10-10-2025,Andhra Pradesh,Srikakulam,532457,2,11
