date,state,district,pincode,bio_age_5_17,bio_age_17_
19-06-2025,Andhra Pradesh,Visakhapatnam,530053,3,7
18-10-2025,Andhra Pradesh,Visakhapatnam,530005,2,2
18-10-2025,Andhra Pradesh,Visakhapatnam,530013,5,17
18-10-2025,Andhra Pradesh,Visakhapatnam,530022,2,3
18-10-2025,Andhra Pradesh,Visakhapatnam,530024,3,2
18-10-2025,Andhra Pradesh,Visakhapatnam,530026,21,17
18-10-2025,Andhra Pradesh,Visakhapatnam,530028,4,3
18-10-2025,Andhra Pradesh,Visakhapatnam,530031,1,2
18-10-2025,Andhra Pradesh,Visakhapatnam,530043,1,0
18-10-2025,Andhra Pradesh,Visakhapatnam,531020,4,2
18-10-2025,Andhra Pradesh,Visakhapatnam,531022,0,6
